87 320 240
137 79 4 1
150 189 5 0
151 189 5 0
152 189 5 0
153 189 5 0
154 189 5 0
134 76 4 1
135 76 4 1
136 76 4 1
137 76 4 1
138 76 4 1
16 107 2 0
150 186 5 0
139 76 4 1
151 186 5 0
140 76 4 1
152 186 5 0
153 186 5 0
154 186 5 0
13 104 2 0
14 104 2 0
137 73 4 1
15 104 2 0
16 104 2 0
17 104 2 0
18 104 2 0
19 104 2 0
16 101 2 0
152 190 5 0
135 77 4 1
136 77 4 1
137 77 4 1
149 187 5 0
138 77 4 1
150 187 5 0
139 77 4 1
151 187 5 0
152 187 5 0
153 187 5 0
154 187 5 0
155 187 5 0
135 74 4 1
136 74 4 1
14 105 2 0
137 74 4 1
15 105 2 0
138 74 4 1
16 105 2 0
139 74 4 1
17 105 2 0
18 105 2 0
152 184 5 0
14 102 2 0
15 102 2 0
16 102 2 0
17 102 2 0
18 102 2 0
135 78 4 1
136 78 4 1
137 78 4 1
138 78 4 1
150 188 5 0
139 78 4 1
151 188 5 0
152 188 5 0
153 188 5 0
154 188 5 0
135 75 4 1
136 75 4 1
14 106 2 0
137 75 4 1
15 106 2 0
138 75 4 1
16 106 2 0
139 75 4 1
150 185 5 0
17 106 2 0
151 185 5 0
18 106 2 0
152 185 5 0
153 185 5 0
154 185 5 0
14 103 2 0
15 103 2 0
16 103 2 0
17 103 2 0
18 103 2 0
