4709 481 321
253 62 3 1
254 62 3 1
255 62 3 1
256 62 3 1
257 62 3 1
258 62 3 1
259 62 3 1
40 250 11 0
41 250 11 0
42 250 11 0
43 250 11 0
44 250 11 0
45 250 11 0
46 250 11 0
97 78 7 0
98 78 7 0
99 78 7 0
100 78 7 0
101 78 7 0
102 78 7 0
103 78 7 0
104 78 7 0
66 125 7 0
67 125 7 0
68 125 7 0
69 125 7 0
70 125 7 0
71 125 7 0
72 125 7 0
309 62 9 0
310 62 9 0
311 62 9 0
312 62 9 0
257 109 4 1
313 62 9 0
258 109 4 1
314 62 9 0
259 109 4 1
315 62 9 0
260 109 4 1
316 62 9 0
261 109 4 1
317 62 9 0
262 109 4 1
318 62 9 0
263 109 4 1
214 31 8 0
215 31 8 0
216 31 8 0
217 31 8 0
296 234 12 0
218 31 8 0
297 234 12 0
241 281 12 0
219 31 8 0
298 234 12 0
242 281 12 0
220 31 8 0
299 234 12 0
243 281 12 0
221 31 8 0
300 234 12 0
244 281 12 0
222 31 8 0
301 234 12 0
245 281 12 0
223 31 8 0
302 234 12 0
246 281 12 0
224 31 8 0
303 234 12 0
247 281 12 0
225 31 8 0
304 234 12 0
248 281 12 0
226 31 8 0
305 234 12 0
249 281 12 0
227 31 8 0
306 234 12 0
228 31 8 0
307 234 12 0
229 31 8 0
308 234 12 0
230 31 8 0
309 234 12 0
231 31 8 0
310 234 12 0
232 31 8 0
311 234 12 0
312 234 12 0
313 234 12 0
314 234 12 0
315 234 12 0
316 234 12 0
317 234 12 0
318 234 12 0
319 234 12 0
320 234 12 0
321 234 12 0
322 234 12 0
323 234 12 0
324 234 12 0
325 234 12 0
326 234 12 0
327 234 12 0
90 172 2 1
91 172 2 1
92 172 2 1
93 172 2 1
94 172 2 1
95 172 2 1
96 172 2 1
208 78 3 1
209 78 3 1
210 78 3 1
211 78 3 1
212 78 3 1
213 78 3 1
214 78 3 1
215 78 3 1
216 78 3 1
217 78 3 1
218 78 3 1
219 78 3 1
220 78 3 1
221 78 3 1
222 78 3 1
223 78 3 1
224 78 3 1
225 78 3 1
226 78 3 1
227 78 3 1
228 78 3 1
229 78 3 1
230 78 3 1
231 78 3 1
232 78 3 1
233 78 3 1
234 78 3 1
235 78 3 1
236 78 3 1
237 78 3 1
238 78 3 1
239 78 3 1
240 78 3 1
241 78 3 1
242 78 3 1
243 78 3 1
244 78 3 1
302 31 9 0
303 31 9 0
304 31 9 0
305 31 9 0
306 31 9 0
307 31 9 0
308 31 9 0
84 94 7 0
85 94 7 0
86 94 7 0
87 94 7 0
155 172 14 0
88 94 7 0
156 172 14 0
89 94 7 0
157 172 14 0
90 94 7 0
158 172 14 0
91 94 7 0
159 172 14 0
92 94 7 0
160 172 14 0
48 266 11 0
283 203 6 1
161 172 14 0
49 266 11 0
284 203 6 1
50 266 11 0
285 203 6 1
51 266 11 0
286 203 6 1
52 266 11 0
287 203 6 1
53 266 11 0
54 266 11 0
55 141 7 0
56 141 7 0
57 141 7 0
58 141 7 0
59 141 7 0
60 141 7 0
61 141 7 0
62 141 7 0
323 203 12 0
324 203 12 0
325 203 12 0
326 203 12 0
327 203 12 0
328 203 12 0
329 203 12 0
263 125 4 1
264 125 4 1
265 125 4 1
266 125 4 1
278 250 12 0
267 125 4 1
279 250 12 0
268 125 4 1
280 250 12 0
269 125 4 1
281 250 12 0
282 250 12 0
283 250 12 0
284 250 12 0
285 250 12 0
286 250 12 0
186 219 5 1
187 219 5 1
188 219 5 1
189 219 5 1
122 141 2 1
190 219 5 1
123 141 2 1
191 219 5 1
124 141 2 1
192 219 5 1
125 141 2 1
126 141 2 1
127 141 2 1
128 141 2 1
129 141 2 1
130 141 2 1
131 141 2 1
132 141 2 1
133 141 2 1
134 141 2 1
135 141 2 1
136 141 2 1
137 141 2 1
138 141 2 1
139 141 2 1
140 141 2 1
141 141 2 1
87 188 2 1
88 188 2 1
89 188 2 1
34 235 11 0
90 188 2 1
35 235 11 0
91 188 2 1
36 235 11 0
92 188 2 1
37 235 11 0
93 188 2 1
38 235 11 0
39 235 11 0
306 47 9 0
307 47 9 0
308 47 9 0
74 110 7 0
309 47 9 0
75 110 7 0
254 94 4 1
310 47 9 0
76 110 7 0
311 47 9 0
77 110 7 0
312 47 9 0
78 110 7 0
79 110 7 0
80 110 7 0
281 219 6 1
44 157 7 0
45 157 7 0
46 157 7 0
47 157 7 0
48 157 7 0
49 157 7 0
50 157 7 0
51 157 7 0
260 266 12 0
261 266 12 0
262 266 12 0
263 266 12 0
264 266 12 0
265 266 12 0
266 266 12 0
323 219 12 0
267 266 12 0
324 219 12 0
268 266 12 0
325 219 12 0
269 266 12 0
326 219 12 0
327 219 12 0
328 219 12 0
329 219 12 0
96 157 2 1
97 157 2 1
98 157 2 1
99 157 2 1
100 157 2 1
101 157 2 1
102 157 2 1
252 63 3 1
253 63 3 1
254 63 3 1
255 63 3 1
256 63 3 1
257 63 3 1
258 63 3 1
41 251 11 0
42 251 11 0
43 251 11 0
44 251 11 0
45 251 11 0
46 251 11 0
47 251 11 0
96 79 7 0
97 79 7 0
98 79 7 0
99 79 7 0
100 79 7 0
101 79 7 0
102 79 7 0
103 79 7 0
65 126 7 0
66 126 7 0
67 126 7 0
68 126 7 0
69 126 7 0
70 126 7 0
71 126 7 0
72 126 7 0
310 63 9 0
311 63 9 0
312 63 9 0
257 110 4 1
313 63 9 0
258 110 4 1
314 63 9 0
259 110 4 1
315 63 9 0
260 110 4 1
316 63 9 0
261 110 4 1
317 63 9 0
262 110 4 1
263 110 4 1
215 32 8 0
216 32 8 0
295 235 12 0
217 32 8 0
296 235 12 0
240 282 12 0
218 32 8 0
297 235 12 0
241 282 12 0
219 32 8 0
298 235 12 0
242 282 12 0
220 32 8 0
299 235 12 0
243 282 12 0
221 32 8 0
300 235 12 0
244 282 12 0
222 32 8 0
301 235 12 0
245 282 12 0
223 32 8 0
302 235 12 0
246 282 12 0
224 32 8 0
303 235 12 0
247 282 12 0
225 32 8 0
304 235 12 0
248 282 12 0
226 32 8 0
305 235 12 0
227 32 8 0
306 235 12 0
228 32 8 0
307 235 12 0
229 32 8 0
308 235 12 0
230 32 8 0
309 235 12 0
310 235 12 0
311 235 12 0
312 235 12 0
313 235 12 0
314 235 12 0
315 235 12 0
316 235 12 0
317 235 12 0
318 235 12 0
319 235 12 0
320 235 12 0
321 235 12 0
322 235 12 0
323 235 12 0
324 235 12 0
325 235 12 0
326 235 12 0
89 173 2 1
90 173 2 1
91 173 2 1
92 173 2 1
93 173 2 1
94 173 2 1
95 173 2 1
209 79 3 1
210 79 3 1
211 79 3 1
212 79 3 1
213 79 3 1
214 79 3 1
215 79 3 1
216 79 3 1
217 79 3 1
218 79 3 1
219 79 3 1
220 79 3 1
221 79 3 1
222 79 3 1
223 79 3 1
224 79 3 1
225 79 3 1
226 79 3 1
227 79 3 1
228 79 3 1
229 79 3 1
230 79 3 1
231 79 3 1
232 79 3 1
233 79 3 1
234 79 3 1
235 79 3 1
236 79 3 1
237 79 3 1
238 79 3 1
239 79 3 1
240 79 3 1
241 79 3 1
242 79 3 1
303 32 9 0
304 32 9 0
305 32 9 0
306 32 9 0
307 32 9 0
308 32 9 0
309 32 9 0
83 95 7 0
84 95 7 0
85 95 7 0
86 95 7 0
87 95 7 0
88 95 7 0
156 173 14 0
89 95 7 0
157 173 14 0
90 95 7 0
158 173 14 0
91 95 7 0
159 173 14 0
282 204 6 1
160 173 14 0
48 267 11 0
283 204 6 1
49 267 11 0
284 204 6 1
50 267 11 0
285 204 6 1
51 267 11 0
286 204 6 1
52 267 11 0
287 204 6 1
53 267 11 0
54 267 11 0
55 267 11 0
54 142 7 0
55 142 7 0
56 142 7 0
57 142 7 0
58 142 7 0
59 142 7 0
60 142 7 0
61 142 7 0
323 204 12 0
324 204 12 0
325 204 12 0
326 204 12 0
327 204 12 0
328 204 12 0
329 204 12 0
264 126 4 1
265 126 4 1
277 251 12 0
266 126 4 1
278 251 12 0
267 126 4 1
279 251 12 0
268 126 4 1
280 251 12 0
269 126 4 1
281 251 12 0
270 126 4 1
282 251 12 0
283 251 12 0
284 251 12 0
285 251 12 0
185 220 5 1
118 142 2 1
186 220 5 1
119 142 2 1
187 220 5 1
120 142 2 1
188 220 5 1
121 142 2 1
189 220 5 1
122 142 2 1
190 220 5 1
123 142 2 1
191 220 5 1
124 142 2 1
192 220 5 1
125 142 2 1
126 142 2 1
127 142 2 1
128 142 2 1
129 142 2 1
130 142 2 1
131 142 2 1
132 142 2 1
133 142 2 1
134 142 2 1
135 142 2 1
136 142 2 1
87 189 2 1
88 189 2 1
33 236 11 0
89 189 2 1
34 236 11 0
90 189 2 1
35 236 11 0
91 189 2 1
36 236 11 0
92 189 2 1
37 236 11 0
93 189 2 1
38 236 11 0
39 236 11 0
306 48 9 0
307 48 9 0
73 111 7 0
252 95 4 1
308 48 9 0
74 111 7 0
253 95 4 1
309 48 9 0
75 111 7 0
254 95 4 1
310 48 9 0
76 111 7 0
255 95 4 1
311 48 9 0
77 111 7 0
256 95 4 1
312 48 9 0
78 111 7 0
79 111 7 0
44 158 7 0
45 158 7 0
46 158 7 0
47 158 7 0
48 158 7 0
49 158 7 0
50 158 7 0
51 158 7 0
258 267 12 0
259 267 12 0
260 267 12 0
261 267 12 0
262 267 12 0
263 267 12 0
264 267 12 0
265 267 12 0
266 267 12 0
323 220 12 0
267 267 12 0
324 220 12 0
268 267 12 0
325 220 12 0
326 220 12 0
327 220 12 0
93 283 13 0
328 220 12 0
94 283 13 0
329 220 12 0
96 158 2 1
97 158 2 1
98 158 2 1
99 158 2 1
100 158 2 1
101 158 2 1
102 158 2 1
252 64 3 1
253 64 3 1
254 64 3 1
255 64 3 1
256 64 3 1
257 64 3 1
258 64 3 1
41 252 11 0
42 252 11 0
43 252 11 0
44 252 11 0
45 252 11 0
46 252 11 0
47 252 11 0
96 80 7 0
97 80 7 0
98 80 7 0
99 80 7 0
100 80 7 0
101 80 7 0
102 80 7 0
65 127 7 0
66 127 7 0
67 127 7 0
68 127 7 0
69 127 7 0
70 127 7 0
71 127 7 0
310 64 9 0
311 64 9 0
312 64 9 0
313 64 9 0
258 111 4 1
314 64 9 0
259 111 4 1
315 64 9 0
260 111 4 1
316 64 9 0
261 111 4 1
317 64 9 0
262 111 4 1
263 111 4 1
264 111 4 1
293 236 12 0
215 33 8 0
294 236 12 0
216 33 8 0
295 236 12 0
217 33 8 0
296 236 12 0
218 33 8 0
297 236 12 0
241 283 12 0
219 33 8 0
298 236 12 0
242 283 12 0
220 33 8 0
299 236 12 0
243 283 12 0
221 33 8 0
300 236 12 0
244 283 12 0
222 33 8 0
301 236 12 0
245 283 12 0
223 33 8 0
302 236 12 0
246 283 12 0
224 33 8 0
303 236 12 0
247 283 12 0
225 33 8 0
304 236 12 0
226 33 8 0
305 236 12 0
227 33 8 0
306 236 12 0
228 33 8 0
307 236 12 0
229 33 8 0
308 236 12 0
309 236 12 0
310 236 12 0
311 236 12 0
312 236 12 0
313 236 12 0
314 236 12 0
315 236 12 0
316 236 12 0
317 236 12 0
318 236 12 0
319 236 12 0
320 236 12 0
321 236 12 0
322 236 12 0
323 236 12 0
324 236 12 0
325 236 12 0
326 236 12 0
89 174 2 1
90 174 2 1
91 174 2 1
92 174 2 1
93 174 2 1
94 174 2 1
95 174 2 1
209 80 3 1
210 80 3 1
211 80 3 1
212 80 3 1
213 80 3 1
214 80 3 1
215 80 3 1
216 80 3 1
217 80 3 1
218 80 3 1
219 80 3 1
220 80 3 1
221 80 3 1
222 80 3 1
223 80 3 1
224 80 3 1
225 80 3 1
226 80 3 1
227 80 3 1
228 80 3 1
229 80 3 1
230 80 3 1
231 80 3 1
232 80 3 1
233 80 3 1
234 80 3 1
235 80 3 1
236 80 3 1
237 80 3 1
238 80 3 1
239 80 3 1
240 80 3 1
303 33 9 0
304 33 9 0
305 33 9 0
306 33 9 0
307 33 9 0
308 33 9 0
309 33 9 0
82 96 7 0
83 96 7 0
84 96 7 0
85 96 7 0
86 96 7 0
87 96 7 0
88 96 7 0
156 174 14 0
89 96 7 0
157 174 14 0
90 96 7 0
158 174 14 0
159 174 14 0
282 205 6 1
160 174 14 0
48 268 11 0
283 205 6 1
49 268 11 0
284 205 6 1
50 268 11 0
285 205 6 1
51 268 11 0
286 205 6 1
52 268 11 0
287 205 6 1
53 268 11 0
288 205 6 1
54 268 11 0
55 268 11 0
53 143 7 0
54 143 7 0
55 143 7 0
56 143 7 0
57 143 7 0
58 143 7 0
59 143 7 0
60 143 7 0
323 205 12 0
324 205 12 0
325 205 12 0
326 205 12 0
327 205 12 0
328 205 12 0
329 205 12 0
264 127 4 1
265 127 4 1
277 252 12 0
266 127 4 1
278 252 12 0
267 127 4 1
279 252 12 0
268 127 4 1
280 252 12 0
269 127 4 1
281 252 12 0
270 127 4 1
282 252 12 0
283 252 12 0
284 252 12 0
111 143 2 1
112 143 2 1
113 143 2 1
114 143 2 1
115 143 2 1
116 143 2 1
117 143 2 1
118 143 2 1
186 221 5 1
119 143 2 1
187 221 5 1
120 143 2 1
188 221 5 1
121 143 2 1
189 221 5 1
122 143 2 1
190 221 5 1
123 143 2 1
191 221 5 1
124 143 2 1
192 221 5 1
125 143 2 1
193 221 5 1
126 143 2 1
127 143 2 1
128 143 2 1
129 143 2 1
130 143 2 1
131 143 2 1
132 143 2 1
133 143 2 1
87 190 2 1
88 190 2 1
89 190 2 1
34 237 11 0
90 190 2 1
35 237 11 0
91 190 2 1
36 237 11 0
92 190 2 1
37 237 11 0
93 190 2 1
38 237 11 0
39 237 11 0
40 237 11 0
306 49 9 0
307 49 9 0
73 112 7 0
252 96 4 1
308 49 9 0
74 112 7 0
253 96 4 1
309 49 9 0
75 112 7 0
254 96 4 1
310 49 9 0
76 112 7 0
255 96 4 1
311 49 9 0
77 112 7 0
256 96 4 1
312 49 9 0
78 112 7 0
79 112 7 0
45 159 7 0
46 159 7 0
47 159 7 0
48 159 7 0
49 159 7 0
50 159 7 0
256 268 12 0
257 268 12 0
258 268 12 0
259 268 12 0
260 268 12 0
261 268 12 0
262 268 12 0
263 268 12 0
264 268 12 0
265 268 12 0
266 268 12 0
323 221 12 0
267 268 12 0
324 221 12 0
325 221 12 0
91 284 13 0
326 221 12 0
92 284 13 0
327 221 12 0
93 284 13 0
328 221 12 0
94 284 13 0
329 221 12 0
95 284 13 0
96 284 13 0
97 284 13 0
95 159 2 1
96 159 2 1
97 159 2 1
98 159 2 1
99 159 2 1
100 159 2 1
101 159 2 1
251 65 3 1
252 65 3 1
253 65 3 1
254 65 3 1
255 65 3 1
256 65 3 1
257 65 3 1
41 253 11 0
42 253 11 0
43 253 11 0
44 253 11 0
45 253 11 0
46 253 11 0
47 253 11 0
95 81 7 0
96 81 7 0
97 81 7 0
98 81 7 0
99 81 7 0
100 81 7 0
101 81 7 0
102 81 7 0
64 128 7 0
