58 640 400
262 193 3 1
263 193 3 1
264 193 3 1
265 193 3 1
266 193 3 1
264 198 3 1
343 99 4 0
344 99 4 0
345 99 4 0
346 99 4 0
347 99 4 0
262 194 3 1
263 194 3 1
264 194 3 1
265 194 3 1
266 194 3 1
342 100 4 0
343 100 4 0
344 100 4 0
345 100 4 0
346 100 4 0
347 100 4 0
348 100 4 0
261 195 3 1
262 195 3 1
263 195 3 1
264 195 3 1
265 195 3 1
266 195 3 1
267 195 3 1
343 101 4 0
344 101 4 0
345 101 4 0
346 101 4 0
347 101 4 0
262 196 3 1
263 196 3 1
264 196 3 1
265 196 3 1
266 196 3 1
345 97 4 0
343 102 4 0
344 102 4 0
345 102 4 0
346 102 4 0
347 102 4 0
264 192 3 1
262 197 3 1
263 197 3 1
264 197 3 1
343 98 4 0
265 197 3 1
344 98 4 0
266 197 3 1
345 98 4 0
346 98 4 0
347 98 4 0
345 103 4 0
