image, method, ite, acc, alpha, beta
000001_000002, GCmax-w1, 1, 0.0000, -1.000000, -1.000000
000001_000002, GCmax-w1, 2, 0.6006, -1.000000, -1.000000
000001_000002, GCmax-w1, 3, 0.1014, -1.000000, -1.000000
000001_000002, GCmax-w1, 4, 0.1333, -1.000000, -1.000000
000001_000002, GCmax-w1, 5, 0.8648, -1.000000, -1.000000
000001_000002, GCmax-w1, 6, 0.9438, -1.000000, -1.000000
000001_000002, GCmax-w1, 7, 0.9746, -1.000000, -1.000000
000001_000002, GCmax-w1, 8, 0.9792, -1.000000, -1.000000
000001_000002, GCmax-w1, 9, 0.9834, -1.000000, -1.000000
000001_000002, GCmax-w1, 10, 0.9865, -1.000000, -1.000000
000001_000002, GCmax-w1, 11, 0.9879, -1.000000, -1.000000
000001_000002, GCmax-w1, 12, 0.9890, -1.000000, -1.000000
000001_000002, GCmax-w1, 13, 0.9894, -1.000000, -1.000000
000001_000002, GCsum-w3, 1, 0.0000, -1.000000, -1.000000
000001_000002, GCsum-w3, 2, 0.6006, -1.000000, -1.000000
000001_000002, GCsum-w3, 3, 0.0005, -1.000000, -1.000000
000001_000002, GCsum-w3, 4, 0.0108, -1.000000, -1.000000
000001_000002, GCsum-w3, 5, 0.5611, -1.000000, -1.000000
000001_000002, GCsum-w3, 6, 0.5613, -1.000000, -1.000000
000001_000002, GCsum-w3, 7, 0.5625, -1.000000, -1.000000
000001_000002, GCsum-w3, 8, 0.6924, -1.000000, -1.000000
000001_000002, GCsum-w3, 9, 0.9099, -1.000000, -1.000000
000001_000002, GCsum-w3, 10, 0.9483, -1.000000, -1.000000
000001_000002, GCsum-w3, 11, 0.9672, -1.000000, -1.000000
000001_000002, GCsum-w3, 12, 0.9756, -1.000000, -1.000000
000001_000002, GCsum-w3, 13, 0.9845, -1.000000, -1.000000
000001_000002, GCsum-w3, 14, 0.9887, -1.000000, -1.000000
000001_000002, GCsum-w3, 15, 0.7066, -1.000000, -1.000000
000001_000002, GCsum-w3, 16, 0.9905, -1.000000, -1.000000
000001_000002, GCmax-DT-w5, 1, 0.0000, -1.000000, -1.000000
000001_000002, GCmax-DT-w5, 2, 0.6006, -1.000000, -1.000000
000001_000002, GCmax-DT-w5, 3, 0.1158, -1.000000, -1.000000
000001_000002, GCmax-DT-w5, 4, 0.8628, -1.000000, -1.000000
