Folder,class
B.coli_cisto_20x_foco/p,1
B.coli_trofo_20x_foco/p,2
Urbanorum_20x_foco/p,3
H.nana_20x_foco/p,4
H.diminuta_20x_foco/p,5
Ancilostomideo_20x_foco/p,6
E.vermicularis_20x_foco/p,7
A.lumbricoides_20x_foco/p,8
T.trichiura_20x_foco/p,9
S.mansoni_20x_foco/p,10
Taenia_20x_foco/p,11
Diphyllobothrium_20x_foco/p,12
T.canis_human_20x_foco/p,13
T.canis_vet_20x_foco/p,13
E.coli_20x_+4/i_20x,14
E.histolytica_20x_+4/i_20x,14
E.nana_20x_+4/i_20x,14
Giardia_20x_+4/i_20x,14
I.butschlii_20x_+4/i_20x,14
B.hominis_20x_+4/i_20x,14
B.coli_cisto_20x_+4/i,14
B.coli_trofo_20x_+4/i,14
Urbanorum_20x_+4/i,14
H.nana_20x_+4/i_20x,14
H.diminuta_20x_+4/i_20x,14
Ancilostomideo_20x_+4/i_20x,14
E.vermicularis_20x_+4/i_20x,14
A.lumbricoides_20x_+4/i_20x,14
T.trichiura_20x_+4/i_20x,14
S.mansoni_20x_+4/i_20x,14
Taenia_20x_+4/i_20x,14
Diphyllobothrium_20x_+4/i,14
T.canis_human_20x_+4/i,14
T.canis_vet_20x_+4/i,14
