Folder,class
E.coli_20x_foco/p,1
E.histolytica_20x_foco/p,2
E.nana_20x_foco/p,3
Giardia_20x_foco/p,4
I.butschlii_20x_foco/p,5
B.hominis_20x_+4/p_20x,6
B.hominis_20x_foco/p,6
E.coli_20x_+4/i_20x,7
E.histolytica_20x_+4/i_20x,7
E.nana_20x_+4/i_20x,7
Giardia_20x_+4/i_20x,7
I.butschlii_20x_+4/i_20x,7
B.hominis_20x_+4/i_20x,7
B.coli_cisto_20x_+4/i,7
B.coli_trofo_20x_+4/i,7
Urbanorum_20x_+4/i,7
H.nana_20x_+4/i_20x,7
H.diminuta_20x_+4/i_20x,7
Ancilostomideo_20x_+4/i_20x,7
E.vermicularis_20x_+4/i_20x,7
A.lumbricoides_20x_+4/i_20x,7
T.trichiura_20x_+4/i_20x,7
S.mansoni_20x_+4/i_20x,7
Taenia_20x_+4/i_20x,7
Diphyllobothrium_20x_+4/i,7
T.canis_human_20x_+4/i,7
T.canis_vet_20x_+4/i,7
