59930 4080 2046
2489 1723 2 0
2490 1723 2 0
2491 1723 2 0
2492 1723 2 0
2493 1723 2 0
2446 1662 2 0
2447 1662 2 0
2448 1662 2 0
2449 1662 2 0
2450 1662 2 0
2451 1662 2 0
2452 1662 2 0
2453 1662 2 0
2454 1662 2 0
2455 1662 2 0
2456 1662 2 0
2457 1662 2 0
2458 1662 2 0
2459 1662 2 0
2460 1662 2 0
2461 1662 2 0
2462 1662 2 0
2463 1662 2 0
2464 1662 2 0
2465 1662 2 0
2466 1662 2 0
2467 1662 2 0
2468 1662 2 0
2469 1662 2 0
2470 1662 2 0
2471 1662 2 0
2472 1662 2 0
2473 1662 2 0
2474 1662 2 0
2475 1662 2 0
2476 1662 2 0
2477 1662 2 0
2478 1662 2 0
2479 1662 2 0
2480 1662 2 0
2481 1662 2 0
2482 1662 2 0
2483 1662 2 0
2443 1601 2 0
2444 1601 2 0
2445 1601 2 0
2446 1601 2 0
2447 1601 2 0
2448 1601 2 0
2449 1601 2 0
2450 1601 2 0
2451 1601 2 0
2452 1601 2 0
2453 1601 2 0
2454 1601 2 0
2455 1601 2 0
2456 1601 2 0
2457 1601 2 0
2458 1601 2 0
2459 1601 2 0
2460 1601 2 0
2461 1601 2 0
2462 1601 2 0
2463 1601 2 0
2464 1601 2 0
2465 1601 2 0
2466 1601 2 0
2467 1601 2 0
2468 1601 2 0
2469 1601 2 0
2470 1601 2 0
2471 1601 2 0
2472 1601 2 0
2473 1601 2 0
2474 1601 2 0
2475 1601 2 0
2476 1601 2 0
2477 1601 2 0
2478 1601 2 0
2479 1601 2 0
2435 1540 2 0
2436 1540 2 0
2437 1540 2 0
2438 1540 2 0
2439 1540 2 0
2440 1540 2 0
2441 1540 2 0
2442 1540 2 0
2443 1540 2 0
2444 1540 2 0
2445 1540 2 0
2446 1540 2 0
2447 1540 2 0
2448 1540 2 0
2449 1540 2 0
2450 1540 2 0
2451 1540 2 0
2452 1540 2 0
2453 1540 2 0
2454 1540 2 0
2455 1540 2 0
2456 1540 2 0
2457 1540 2 0
2458 1540 2 0
2459 1540 2 0
2460 1540 2 0
2461 1540 2 0
2462 1540 2 0
2463 1540 2 0
2464 1540 2 0
2465 1540 2 0
2466 1540 2 0
2467 1540 2 0
2468 1540 2 0
2469 1540 2 0
2470 1540 2 0
2471 1540 2 0
2421 1479 2 0
2422 1479 2 0
2423 1479 2 0
2424 1479 2 0
2425 1479 2 0
2426 1479 2 0
2427 1479 2 0
2428 1479 2 0
2429 1479 2 0
2430 1479 2 0
2431 1479 2 0
2432 1479 2 0
2433 1479 2 0
2434 1479 2 0
2435 1479 2 0
2436 1479 2 0
2437 1479 2 0
2438 1479 2 0
2439 1479 2 0
2440 1479 2 0
2441 1479 2 0
2442 1479 2 0
2443 1479 2 0
2444 1479 2 0
2445 1479 2 0
2446 1479 2 0
2447 1479 2 0
2448 1479 2 0
2449 1479 2 0
2450 1479 2 0
2451 1479 2 0
2452 1479 2 0
2453 1479 2 0
2454 1479 2 0
2455 1479 2 0
2456 1479 2 0
2457 1479 2 0
2410 1418 2 0
2411 1418 2 0
2412 1418 2 0
2413 1418 2 0
2414 1418 2 0
2415 1418 2 0
2416 1418 2 0
2417 1418 2 0
2418 1418 2 0
2419 1418 2 0
2420 1418 2 0
2421 1418 2 0
2422 1418 2 0
2423 1418 2 0
2424 1418 2 0
2425 1418 2 0
2426 1418 2 0
2427 1418 2 0
2428 1418 2 0
2429 1418 2 0
2430 1418 2 0
2431 1418 2 0
2432 1418 2 0
2433 1418 2 0
2434 1418 2 0
2435 1418 2 0
2436 1418 2 0
2437 1418 2 0
2438 1418 2 0
2439 1418 2 0
2440 1418 2 0
2441 1418 2 0
2442 1418 2 0
2443 1418 2 0
2444 1418 2 0
2445 1418 2 0
2446 1418 2 0
2447 1418 2 0
2448 1418 2 0
2403 1357 2 0
2404 1357 2 0
2405 1357 2 0
2406 1357 2 0
2407 1357 2 0
2408 1357 2 0
2409 1357 2 0
2410 1357 2 0
2411 1357 2 0
2412 1357 2 0
2413 1357 2 0
2414 1357 2 0
2415 1357 2 0
2416 1357 2 0
2417 1357 2 0
2418 1357 2 0
2419 1357 2 0
2420 1357 2 0
2421 1357 2 0
2422 1357 2 0
2423 1357 2 0
2424 1357 2 0
2425 1357 2 0
2426 1357 2 0
2427 1357 2 0
2428 1357 2 0
2429 1357 2 0
2430 1357 2 0
2431 1357 2 0
2432 1357 2 0
2433 1357 2 0
2434 1357 2 0
2435 1357 2 0
2436 1357 2 0
2437 1357 2 0
2438 1357 2 0
2439 1357 2 0
2440 1357 2 0
2441 1357 2 0
2442 1357 2 0
2394 1296 2 0
2395 1296 2 0
2396 1296 2 0
2397 1296 2 0
2398 1296 2 0
2399 1296 2 0
2400 1296 2 0
2401 1296 2 0
2402 1296 2 0
2403 1296 2 0
2404 1296 2 0
2405 1296 2 0
2406 1296 2 0
2407 1296 2 0
2408 1296 2 0
2409 1296 2 0
2410 1296 2 0
2411 1296 2 0
2412 1296 2 0
2413 1296 2 0
2414 1296 2 0
2415 1296 2 0
2416 1296 2 0
2417 1296 2 0
2418 1296 2 0
2419 1296 2 0
2420 1296 2 0
2421 1296 2 0
2422 1296 2 0
2423 1296 2 0
2424 1296 2 0
2425 1296 2 0
2426 1296 2 0
2427 1296 2 0
2428 1296 2 0
2376 1235 2 0
2429 1296 2 0
2377 1235 2 0
2430 1296 2 0
2378 1235 2 0
2431 1296 2 0
2379 1235 2 0
2380 1235 2 0
2381 1235 2 0
2382 1235 2 0
2383 1235 2 0
2384 1235 2 0
2385 1235 2 0
2386 1235 2 0
2387 1235 2 0
2388 1235 2 0
2389 1235 2 0
2390 1235 2 0
2391 1235 2 0
2392 1235 2 0
2393 1235 2 0
2394 1235 2 0
2395 1235 2 0
2396 1235 2 0
2397 1235 2 0
2398 1235 2 0
2399 1235 2 0
2400 1235 2 0
2401 1235 2 0
2402 1235 2 0
2403 1235 2 0
2404 1235 2 0
2405 1235 2 0
2406 1235 2 0
2407 1235 2 0
2408 1235 2 0
2409 1235 2 0
2410 1235 2 0
2411 1235 2 0
2412 1235 2 0
2413 1235 2 0
2414 1235 2 0
2415 1235 2 0
2416 1235 2 0
2417 1235 2 0
2366 1174 2 0
2418 1235 2 0
2367 1174 2 0
2419 1235 2 0
2368 1174 2 0
2420 1235 2 0
2369 1174 2 0
2370 1174 2 0
2371 1174 2 0
2372 1174 2 0
2373 1174 2 0
2374 1174 2 0
2375 1174 2 0
2376 1174 2 0
2377 1174 2 0
2378 1174 2 0
2379 1174 2 0
2380 1174 2 0
2381 1174 2 0
2382 1174 2 0
2383 1174 2 0
2384 1174 2 0
2385 1174 2 0
2386 1174 2 0
2387 1174 2 0
2388 1174 2 0
2389 1174 2 0
2390 1174 2 0
2391 1174 2 0
2392 1174 2 0
2393 1174 2 0
2394 1174 2 0
2395 1174 2 0
2396 1174 2 0
2397 1174 2 0
2398 1174 2 0
2399 1174 2 0
2400 1174 2 0
2401 1174 2 0
2402 1174 2 0
2403 1174 2 0
2404 1174 2 0
2359 1113 2 0
2360 1113 2 0
2361 1113 2 0
2362 1113 2 0
2363 1113 2 0
2364 1113 2 0
2365 1113 2 0
2366 1113 2 0
2367 1113 2 0
2368 1113 2 0
2369 1113 2 0
2370 1113 2 0
2371 1113 2 0
2372 1113 2 0
2373 1113 2 0
2374 1113 2 0
2375 1113 2 0
2376 1113 2 0
2377 1113 2 0
2378 1113 2 0
2379 1113 2 0
2380 1113 2 0
2381 1113 2 0
2382 1113 2 0
2383 1113 2 0
2384 1113 2 0
2385 1113 2 0
2386 1113 2 0
2387 1113 2 0
2388 1113 2 0
2389 1113 2 0
2390 1113 2 0
2391 1113 2 0
2392 1113 2 0
2393 1113 2 0
2394 1113 2 0
2395 1113 2 0
2355 1052 2 0
2356 1052 2 0
2357 1052 2 0
2358 1052 2 0
2359 1052 2 0
2360 1052 2 0
2361 1052 2 0
2362 1052 2 0
2363 1052 2 0
2364 1052 2 0
2365 1052 2 0
2366 1052 2 0
2367 1052 2 0
2368 1052 2 0
2369 1052 2 0
2370 1052 2 0
2371 1052 2 0
2372 1052 2 0
2373 1052 2 0
2374 1052 2 0
2375 1052 2 0
2376 1052 2 0
2377 1052 2 0
2378 1052 2 0
2379 1052 2 0
2380 1052 2 0
2381 1052 2 0
2382 1052 2 0
2383 1052 2 0
2384 1052 2 0
2385 1052 2 0
2386 1052 2 0
2387 1052 2 0
2388 1052 2 0
2389 1052 2 0
2390 1052 2 0
2391 1052 2 0
2344 991 2 0
2345 991 2 0
2346 991 2 0
2347 991 2 0
2348 991 2 0
2349 991 2 0
2350 991 2 0
2351 991 2 0
2352 991 2 0
2353 991 2 0
2354 991 2 0
2355 991 2 0
2356 991 2 0
2357 991 2 0
2358 991 2 0
2359 991 2 0
2360 991 2 0
2361 991 2 0
2362 991 2 0
2363 991 2 0
2364 991 2 0
2365 991 2 0
2366 991 2 0
2367 991 2 0
2368 991 2 0
2369 991 2 0
2370 991 2 0
2371 991 2 0
2372 991 2 0
2373 991 2 0
2374 991 2 0
2375 991 2 0
2376 991 2 0
2377 991 2 0
2378 991 2 0
2379 991 2 0
2380 991 2 0
2925 1357 4 1
2926 1357 4 1
2927 1357 4 1
2928 1357 4 1
2929 1357 4 1
2930 1357 4 1
2931 1357 4 1
2932 1357 4 1
2933 1357 4 1
2934 1357 4 1
2935 1357 4 1
2936 1357 4 1
2937 1357 4 1
2938 1357 4 1
2939 1357 4 1
2940 1357 4 1
2941 1357 4 1
2942 1357 4 1
2943 1357 4 1
2944 1357 4 1
2945 1357 4 1
2946 1357 4 1
2947 1357 4 1
2948 1357 4 1
2949 1357 4 1
2950 1357 4 1
2951 1357 4 1
2952 1357 4 1
2953 1357 4 1
2954 1357 4 1
2955 1357 4 1
2956 1357 4 1
2957 1357 4 1
2493 1952 2 0
2494 1952 2 0
2495 1952 2 0
2496 1952 2 0
2497 1952 2 0
2498 1952 2 0
2499 1952 2 0
2500 1952 2 0
2501 1952 2 0
2502 1952 2 0
2503 1952 2 0
2504 1952 2 0
2505 1952 2 0
2506 1952 2 0
2507 1952 2 0
2508 1952 2 0
2509 1952 2 0
2510 1952 2 0
2511 1952 2 0
2512 1952 2 0
2513 1952 2 0
2514 1952 2 0
2515 1952 2 0
2516 1952 2 0
2517 1952 2 0
2518 1952 2 0
2519 1952 2 0
2520 1952 2 0
2521 1952 2 0
2522 1952 2 0
2523 1952 2 0
2524 1952 2 0
2525 1952 2 0
2526 1952 2 0
2527 1952 2 0
2528 1952 2 0
2529 1952 2 0
2486 1891 2 0
2487 1891 2 0
2488 1891 2 0
2489 1891 2 0
2490 1891 2 0
2491 1891 2 0
2492 1891 2 0
2493 1891 2 0
2494 1891 2 0
2495 1891 2 0
2496 1891 2 0
2497 1891 2 0
2498 1891 2 0
2499 1891 2 0
2500 1891 2 0
2501 1891 2 0
2502 1891 2 0
2503 1891 2 0
2504 1891 2 0
2505 1891 2 0
2506 1891 2 0
2507 1891 2 0
2508 1891 2 0
2509 1891 2 0
2510 1891 2 0
2511 1891 2 0
2512 1891 2 0
2513 1891 2 0
2514 1891 2 0
2515 1891 2 0
2516 1891 2 0
2517 1891 2 0
2518 1891 2 0
2519 1891 2 0
2520 1891 2 0
2521 1891 2 0
2522 1891 2 0
2475 1830 2 0
2476 1830 2 0
2477 1830 2 0
2478 1830 2 0
2479 1830 2 0
2480 1830 2 0
2481 1830 2 0
2482 1830 2 0
2483 1830 2 0
2484 1830 2 0
2485 1830 2 0
2486 1830 2 0
2487 1830 2 0
2488 1830 2 0
2489 1830 2 0
2490 1830 2 0
2491 1830 2 0
2492 1830 2 0
2493 1830 2 0
2494 1830 2 0
2495 1830 2 0
2496 1830 2 0
2497 1830 2 0
2498 1830 2 0
2499 1830 2 0
2500 1830 2 0
2501 1830 2 0
2502 1830 2 0
2503 1830 2 0
2504 1830 2 0
2505 1830 2 0
2506 1830 2 0
2507 1830 2 0
2508 1830 2 0
2509 1830 2 0
2510 1830 2 0
2511 1830 2 0
2461 1769 2 0
2462 1769 2 0
2463 1769 2 0
2464 1769 2 0
2465 1769 2 0
2466 1769 2 0
2467 1769 2 0
2468 1769 2 0
2469 1769 2 0
2470 1769 2 0
2471 1769 2 0
2472 1769 2 0
2473 1769 2 0
2474 1769 2 0
2475 1769 2 0
2476 1769 2 0
2477 1769 2 0
2478 1769 2 0
2479 1769 2 0
2480 1769 2 0
2481 1769 2 0
2482 1769 2 0
2483 1769 2 0
2484 1769 2 0
2485 1769 2 0
2486 1769 2 0
2487 1769 2 0
2488 1769 2 0
2489 1769 2 0
2490 1769 2 0
2491 1769 2 0
2492 1769 2 0
2493 1769 2 0
2494 1769 2 0
2495 1769 2 0
2496 1769 2 0
2497 1769 2 0
2457 1708 2 0
2458 1708 2 0
2459 1708 2 0
2460 1708 2 0
2461 1708 2 0
2462 1708 2 0
2463 1708 2 0
2464 1708 2 0
2465 1708 2 0
2466 1708 2 0
2467 1708 2 0
2468 1708 2 0
2469 1708 2 0
2470 1708 2 0
2471 1708 2 0
2472 1708 2 0
2473 1708 2 0
2474 1708 2 0
2475 1708 2 0
3301 1479 3 1
2476 1708 2 0
3302 1479 3 1
2477 1708 2 0
3303 1479 3 1
2478 1708 2 0
3304 1479 3 1
2479 1708 2 0
3305 1479 3 1
2480 1708 2 0
3306 1479 3 1
2481 1708 2 0
3307 1479 3 1
2482 1708 2 0
3308 1479 3 1
2483 1708 2 0
3309 1479 3 1
2484 1708 2 0
3310 1479 3 1
2485 1708 2 0
3311 1479 3 1
2486 1708 2 0
3312 1479 3 1
2487 1708 2 0
3313 1479 3 1
2488 1708 2 0
3314 1479 3 1
2489 1708 2 0
3315 1479 3 1
2490 1708 2 0
3316 1479 3 1
2491 1708 2 0
3317 1479 3 1
2492 1708 2 0
3318 1479 3 1
2493 1708 2 0
3319 1479 3 1
3320 1479 3 1
3321 1479 3 1
3322 1479 3 1
3323 1479 3 1
2446 1647 2 0
3324 1479 3 1
2447 1647 2 0
3325 1479 3 1
2448 1647 2 0
3326 1479 3 1
2449 1647 2 0
3327 1479 3 1
2450 1647 2 0
3328 1479 3 1
2451 1647 2 0
3329 1479 3 1
2452 1647 2 0
3330 1479 3 1
2453 1647 2 0
3331 1479 3 1
2454 1647 2 0
3332 1479 3 1
2455 1647 2 0
3333 1479 3 1
2456 1647 2 0
3334 1479 3 1
2457 1647 2 0
3335 1479 3 1
2458 1647 2 0
3336 1479 3 1
2459 1647 2 0
3337 1479 3 1
2460 1647 2 0
3338 1479 3 1
2461 1647 2 0
3339 1479 3 1
2462 1647 2 0
3340 1479 3 1
2463 1647 2 0
3341 1479 3 1
2464 1647 2 0
3342 1479 3 1
2465 1647 2 0
3343 1479 3 1
2466 1647 2 0
3344 1479 3 1
2467 1647 2 0
3345 1479 3 1
2468 1647 2 0
3346 1479 3 1
2469 1647 2 0
3347 1479 3 1
2470 1647 2 0
3348 1479 3 1
2471 1647 2 0
3349 1479 3 1
2472 1647 2 0
3350 1479 3 1
2473 1647 2 0
3351 1479 3 1
2474 1647 2 0
3352 1479 3 1
2475 1647 2 0
3353 1479 3 1
2476 1647 2 0
3354 1479 3 1
2477 1647 2 0
3355 1479 3 1
2478 1647 2 0
3356 1479 3 1
2479 1647 2 0
3357 1479 3 1
2480 1647 2 0
3358 1479 3 1
2481 1647 2 0
3359 1479 3 1
2482 1647 2 0
3360 1479 3 1
3361 1479 3 1
3362 1479 3 1
3363 1479 3 1
3364 1479 3 1
2439 1586 2 0
2440 1586 2 0
2441 1586 2 0
2442 1586 2 0
2443 1586 2 0
2444 1586 2 0
2445 1586 2 0
2446 1586 2 0
2447 1586 2 0
2448 1586 2 0
2449 1586 2 0
2450 1586 2 0
2451 1586 2 0
2452 1586 2 0
2453 1586 2 0
2454 1586 2 0
2455 1586 2 0
2456 1586 2 0
2457 1586 2 0
2458 1586 2 0
2459 1586 2 0
2460 1586 2 0
2461 1586 2 0
2462 1586 2 0
2463 1586 2 0
2464 1586 2 0
2465 1586 2 0
2466 1586 2 0
2467 1586 2 0
2468 1586 2 0
2469 1586 2 0
2470 1586 2 0
2471 1586 2 0
2472 1586 2 0
2473 1586 2 0
2474 1586 2 0
2475 1586 2 0
2476 1586 2 0
2477 1586 2 0
2478 1586 2 0
2479 1586 2 0
2432 1525 2 0
2433 1525 2 0
2434 1525 2 0
2435 1525 2 0
2436 1525 2 0
2437 1525 2 0
2438 1525 2 0
2439 1525 2 0
2440 1525 2 0
2441 1525 2 0
2442 1525 2 0
2443 1525 2 0
2444 1525 2 0
2445 1525 2 0
2446 1525 2 0
2447 1525 2 0
2448 1525 2 0
2449 1525 2 0
2450 1525 2 0
2451 1525 2 0
2452 1525 2 0
2453 1525 2 0
2454 1525 2 0
2455 1525 2 0
2456 1525 2 0
2457 1525 2 0
2458 1525 2 0
2459 1525 2 0
2460 1525 2 0
2461 1525 2 0
2462 1525 2 0
2463 1525 2 0
2464 1525 2 0
2465 1525 2 0
2466 1525 2 0
2467 1525 2 0
2468 1525 2 0
2469 1525 2 0
2421 1464 2 0
2422 1464 2 0
2423 1464 2 0
2424 1464 2 0
2425 1464 2 0
2426 1464 2 0
2427 1464 2 0
2428 1464 2 0
2429 1464 2 0
2430 1464 2 0
2431 1464 2 0
2432 1464 2 0
2433 1464 2 0
2434 1464 2 0
2435 1464 2 0
2436 1464 2 0
2437 1464 2 0
2438 1464 2 0
2439 1464 2 0
2440 1464 2 0
