7805 512 512
480 373 -1 0
479 373 -1 0
483 372 -1 0
482 372 -1 0
481 372 -1 0
480 372 -1 0
479 372 -1 0
478 372 -1 0
477 372 -1 0
476 372 -1 0
484 371 -1 0
483 371 -1 0
482 371 -1 0
481 371 -1 0
480 371 -1 0
479 371 -1 0
478 371 -1 0
477 371 -1 0
476 371 -1 0
475 371 -1 0
484 370 -1 0
483 370 -1 0
482 370 -1 0
481 370 -1 0
480 370 -1 0
479 370 -1 0
478 370 -1 0
477 370 -1 0
476 370 -1 0
475 370 -1 0
484 369 -1 0
483 369 -1 0
482 369 -1 0
481 369 -1 0
480 369 -1 0
479 369 -1 0
478 369 -1 0
477 369 -1 0
476 369 -1 0
475 369 -1 0
485 368 -1 0
484 368 -1 0
483 368 -1 0
482 368 -1 0
481 368 -1 0
480 368 -1 0
479 368 -1 0
478 368 -1 0
477 368 -1 0
476 368 -1 0
475 368 -1 0
474 368 -1 0
485 367 -1 0
484 367 -1 0
483 367 -1 0
482 367 -1 0
481 367 -1 0
480 367 -1 0
479 367 -1 0
478 367 -1 0
477 367 -1 0
476 367 -1 0
475 367 -1 0
485 366 -1 0
484 366 -1 0
483 366 -1 0
482 366 -1 0
481 366 -1 0
480 366 -1 0
479 366 -1 0
478 366 -1 0
477 366 -1 0
476 366 -1 0
475 366 -1 0
485 365 -1 0
484 365 -1 0
483 365 -1 0
482 365 -1 0
481 365 -1 0
480 365 -1 0
479 365 -1 0
478 365 -1 0
477 365 -1 0
476 365 -1 0
475 365 -1 0
485 364 -1 0
484 364 -1 0
483 364 -1 0
482 364 -1 0
481 364 -1 0
480 364 -1 0
479 364 -1 0
478 364 -1 0
477 364 -1 0
476 364 -1 0
475 364 -1 0
485 363 -1 0
484 363 -1 0
483 363 -1 0
482 363 -1 0
481 363 -1 0
480 363 -1 0
479 363 -1 0
478 363 -1 0
477 363 -1 0
476 363 -1 0
475 363 -1 0
486 362 -1 0
485 362 -1 0
484 362 -1 0
483 362 -1 0
482 362 -1 0
481 362 -1 0
480 362 -1 0
479 362 -1 0
478 362 -1 0
477 362 -1 0
476 362 -1 0
486 361 -1 0
485 361 -1 0
484 361 -1 0
483 361 -1 0
482 361 -1 0
481 361 -1 0
480 361 -1 0
479 361 -1 0
478 361 -1 0
477 361 -1 0
476 361 -1 0
486 360 -1 0
485 360 -1 0
484 360 -1 0
483 360 -1 0
482 360 -1 0
481 360 -1 0
480 360 -1 0
479 360 -1 0
478 360 -1 0
477 360 -1 0
476 360 -1 0
486 359 -1 0
485 359 -1 0
484 359 -1 0
483 359 -1 0
482 359 -1 0
481 359 -1 0
480 359 -1 0
479 359 -1 0
478 359 -1 0
477 359 -1 0
476 359 -1 0
487 358 -1 0
486 358 -1 0
485 358 -1 0
484 358 -1 0
483 358 -1 0
482 358 -1 0
481 358 -1 0
480 358 -1 0
479 358 -1 0
478 358 -1 0
477 358 -1 0
487 357 -1 0
486 357 -1 0
485 357 -1 0
484 357 -1 0
483 357 -1 0
482 357 -1 0
481 357 -1 0
480 357 -1 0
479 357 -1 0
478 357 -1 0
477 357 -1 0
487 356 -1 0
486 356 -1 0
485 356 -1 0
484 356 -1 0
483 356 -1 0
482 356 -1 0
481 356 -1 0
480 356 -1 0
479 356 -1 0
478 356 -1 0
477 356 -1 0
487 355 -1 0
486 355 -1 0
485 355 -1 0
484 355 -1 0
483 355 -1 0
482 355 -1 0
481 355 -1 0
480 355 -1 0
479 355 -1 0
478 355 -1 0
477 355 -1 0
487 354 -1 0
486 354 -1 0
485 354 -1 0
484 354 -1 0
483 354 -1 0
482 354 -1 0
481 354 -1 0
480 354 -1 0
479 354 -1 0
478 354 -1 0
477 354 -1 0
488 353 -1 0
487 353 -1 0
486 353 -1 0
485 353 -1 0
484 353 -1 0
483 353 -1 0
482 353 -1 0
481 353 -1 0
480 353 -1 0
479 353 -1 0
478 353 -1 0
488 352 -1 0
487 352 -1 0
486 352 -1 0
485 352 -1 0
484 352 -1 0
483 352 -1 0
482 352 -1 0
481 352 -1 0
480 352 -1 0
479 352 -1 0
478 352 -1 0
488 351 -1 0
487 351 -1 0
486 351 -1 0
485 351 -1 0
484 351 -1 0
483 351 -1 0
482 351 -1 0
481 351 -1 0
480 351 -1 0
479 351 -1 0
478 351 -1 0
488 350 -1 0
487 350 -1 0
486 350 -1 0
485 350 -1 0
484 350 -1 0
483 350 -1 0
482 350 -1 0
481 350 -1 0
480 350 -1 0
479 350 -1 0
478 350 -1 0
488 349 -1 0
487 349 -1 0
486 349 -1 0
485 349 -1 0
484 349 -1 0
483 349 -1 0
482 349 -1 0
481 349 -1 0
480 349 -1 0
479 349 -1 0
478 349 -1 0
488 348 -1 0
487 348 -1 0
486 348 -1 0
485 348 -1 0
484 348 -1 0
483 348 -1 0
482 348 -1 0
481 348 -1 0
480 348 -1 0
479 348 -1 0
478 348 -1 0
488 347 -1 0
487 347 -1 0
486 347 -1 0
485 347 -1 0
484 347 -1 0
483 347 -1 0
482 347 -1 0
481 347 -1 0
480 347 -1 0
479 347 -1 0
478 347 -1 0
488 346 -1 0
487 346 -1 0
486 346 -1 0
485 346 -1 0
484 346 -1 0
483 346 -1 0
482 346 -1 0
481 346 -1 0
480 346 -1 0
479 346 -1 0
478 346 -1 0
488 345 -1 0
487 345 -1 0
486 345 -1 0
485 345 -1 0
484 345 -1 0
483 345 -1 0
482 345 -1 0
481 345 -1 0
480 345 -1 0
479 345 -1 0
478 345 -1 0
489 344 -1 0
488 344 -1 0
487 344 -1 0
486 344 -1 0
485 344 -1 0
484 344 -1 0
483 344 -1 0
482 344 -1 0
481 344 -1 0
480 344 -1 0
479 344 -1 0
489 343 -1 0
488 343 -1 0
487 343 -1 0
486 343 -1 0
485 343 -1 0
484 343 -1 0
483 343 -1 0
482 343 -1 0
481 343 -1 0
480 343 -1 0
479 343 -1 0
489 342 -1 0
488 342 -1 0
487 342 -1 0
486 342 -1 0
485 342 -1 0
484 342 -1 0
483 342 -1 0
482 342 -1 0
481 342 -1 0
480 342 -1 0
479 342 -1 0
489 341 -1 0
488 341 -1 0
487 341 -1 0
486 341 -1 0
485 341 -1 0
484 341 -1 0
483 341 -1 0
482 341 -1 0
481 341 -1 0
480 341 -1 0
479 341 -1 0
489 340 -1 0
488 340 -1 0
487 340 -1 0
486 340 -1 0
485 340 -1 0
484 340 -1 0
483 340 -1 0
482 340 -1 0
481 340 -1 0
480 340 -1 0
479 340 -1 0
489 339 -1 0
488 339 -1 0
487 339 -1 0
486 339 -1 0
485 339 -1 0
484 339 -1 0
483 339 -1 0
482 339 -1 0
481 339 -1 0
480 339 -1 0
479 339 -1 0
489 338 -1 0
488 338 -1 0
487 338 -1 0
486 338 -1 0
485 338 -1 0
484 338 -1 0
483 338 -1 0
482 338 -1 0
481 338 -1 0
480 338 -1 0
479 338 -1 0
490 337 -1 0
489 337 -1 0
488 337 -1 0
487 337 -1 0
486 337 -1 0
485 337 -1 0
484 337 -1 0
483 337 -1 0
482 337 -1 0
481 337 -1 0
480 337 -1 0
490 336 -1 0
489 336 -1 0
488 336 -1 0
487 336 -1 0
486 336 -1 0
485 336 -1 0
484 336 -1 0
483 336 -1 0
482 336 -1 0
481 336 -1 0
480 336 -1 0
490 335 -1 0
489 335 -1 0
488 335 -1 0
487 335 -1 0
486 335 -1 0
485 335 -1 0
484 335 -1 0
483 335 -1 0
482 335 -1 0
481 335 -1 0
480 335 -1 0
490 334 -1 0
489 334 -1 0
488 334 -1 0
487 334 -1 0
486 334 -1 0
485 334 -1 0
484 334 -1 0
483 334 -1 0
482 334 -1 0
481 334 -1 0
480 334 -1 0
490 333 -1 0
489 333 -1 0
488 333 -1 0
487 333 -1 0
486 333 -1 0
485 333 -1 0
484 333 -1 0
483 333 -1 0
482 333 -1 0
481 333 -1 0
480 333 -1 0
490 332 -1 0
489 332 -1 0
488 332 -1 0
487 332 -1 0
486 332 -1 0
485 332 -1 0
484 332 -1 0
483 332 -1 0
482 332 -1 0
481 332 -1 0
480 332 -1 0
490 331 -1 0
489 331 -1 0
488 331 -1 0
487 331 -1 0
486 331 -1 0
485 331 -1 0
484 331 -1 0
483 331 -1 0
482 331 -1 0
481 331 -1 0
480 331 -1 0
491 330 -1 0
490 330 -1 0
489 330 -1 0
488 330 -1 0
487 330 -1 0
486 330 -1 0
485 330 -1 0
484 330 -1 0
483 330 -1 0
482 330 -1 0
481 330 -1 0
491 329 -1 0
490 329 -1 0
489 329 -1 0
488 329 -1 0
487 329 -1 0
486 329 -1 0
485 329 -1 0
484 329 -1 0
483 329 -1 0
482 329 -1 0
481 329 -1 0
491 328 -1 0
490 328 -1 0
489 328 -1 0
488 328 -1 0
487 328 -1 0
486 328 -1 0
485 328 -1 0
484 328 -1 0
483 328 -1 0
482 328 -1 0
481 328 -1 0
491 327 -1 0
490 327 -1 0
489 327 -1 0
488 327 -1 0
487 327 -1 0
486 327 -1 0
485 327 -1 0
484 327 -1 0
483 327 -1 0
482 327 -1 0
481 327 -1 0
491 326 -1 0
490 326 -1 0
489 326 -1 0
488 326 -1 0
487 326 -1 0
486 326 -1 0
485 326 -1 0
484 326 -1 0
483 326 -1 0
482 326 -1 0
481 326 -1 0
491 325 -1 0
490 325 -1 0
489 325 -1 0
488 325 -1 0
487 325 -1 0
486 325 -1 0
485 325 -1 0
484 325 -1 0
483 325 -1 0
482 325 -1 0
481 325 -1 0
491 324 -1 0
490 324 -1 0
489 324 -1 0
488 324 -1 0
487 324 -1 0
486 324 -1 0
485 324 -1 0
484 324 -1 0
483 324 -1 0
482 324 -1 0
481 324 -1 0
491 323 -1 0
490 323 -1 0
489 323 -1 0
488 323 -1 0
487 323 -1 0
486 323 -1 0
485 323 -1 0
484 323 -1 0
483 323 -1 0
482 323 -1 0
481 323 -1 0
491 322 -1 0
490 322 -1 0
489 322 -1 0
488 322 -1 0
487 322 -1 0
486 322 -1 0
485 322 -1 0
484 322 -1 0
483 322 -1 0
482 322 -1 0
481 322 -1 0
491 321 -1 0
490 321 -1 0
489 321 -1 0
488 321 -1 0
487 321 -1 0
486 321 -1 0
485 321 -1 0
484 321 -1 0
483 321 -1 0
482 321 -1 0
481 321 -1 0
491 320 -1 0
490 320 -1 0
489 320 -1 0
488 320 -1 0
487 320 -1 0
486 320 -1 0
485 320 -1 0
484 320 -1 0
483 320 -1 0
482 320 -1 0
481 320 -1 0
491 319 -1 0
490 319 -1 0
489 319 -1 0
488 319 -1 0
487 319 -1 0
486 319 -1 0
485 319 -1 0
484 319 -1 0
483 319 -1 0
482 319 -1 0
481 319 -1 0
491 318 -1 0
490 318 -1 0
489 318 -1 0
488 318 -1 0
487 318 -1 0
486 318 -1 0
485 318 -1 0
484 318 -1 0
483 318 -1 0
482 318 -1 0
481 318 -1 0
491 317 -1 0
490 317 -1 0
489 317 -1 0
488 317 -1 0
487 317 -1 0
486 317 -1 0
485 317 -1 0
484 317 -1 0
483 317 -1 0
482 317 -1 0
481 317 -1 0
491 316 -1 0
490 316 -1 0
489 316 -1 0
488 316 -1 0
487 316 -1 0
486 316 -1 0
485 316 -1 0
484 316 -1 0
483 316 -1 0
482 316 -1 0
481 316 -1 0
491 315 -1 0
490 315 -1 0
489 315 -1 0
488 315 -1 0
487 315 -1 0
486 315 -1 0
485 315 -1 0
484 315 -1 0
483 315 -1 0
482 315 -1 0
481 315 -1 0
491 314 -1 0
490 314 -1 0
489 314 -1 0
488 314 -1 0
487 314 -1 0
486 314 -1 0
485 314 -1 0
484 314 -1 0
483 314 -1 0
482 314 -1 0
481 314 -1 0
491 313 -1 0
490 313 -1 0
489 313 -1 0
488 313 -1 0
487 313 -1 0
486 313 -1 0
485 313 -1 0
484 313 -1 0
483 313 -1 0
482 313 -1 0
481 313 -1 0
491 312 -1 0
490 312 -1 0
489 312 -1 0
488 312 -1 0
487 312 -1 0
486 312 -1 0
485 312 -1 0
484 312 -1 0
483 312 -1 0
482 312 -1 0
481 312 -1 0
491 311 -1 0
490 311 -1 0
489 311 -1 0
488 311 -1 0
487 311 -1 0
486 311 -1 0
485 311 -1 0
484 311 -1 0
483 311 -1 0
482 311 -1 0
481 311 -1 0
491 310 -1 0
490 310 -1 0
489 310 -1 0
488 310 -1 0
487 310 -1 0
486 310 -1 0
485 310 -1 0
484 310 -1 0
483 310 -1 0
482 310 -1 0
481 310 -1 0
491 309 -1 0
490 309 -1 0
489 309 -1 0
488 309 -1 0
487 309 -1 0
486 309 -1 0
485 309 -1 0
484 309 -1 0
483 309 -1 0
482 309 -1 0
481 309 -1 0
491 308 -1 0
490 308 -1 0
489 308 -1 0
488 308 -1 0
487 308 -1 0
486 308 -1 0
485 308 -1 0
484 308 -1 0
483 308 -1 0
482 308 -1 0
481 308 -1 0
491 307 -1 0
490 307 -1 0
489 307 -1 0
488 307 -1 0
487 307 -1 0
486 307 -1 0
485 307 -1 0
484 307 -1 0
483 307 -1 0
482 307 -1 0
481 307 -1 0
491 306 -1 0
490 306 -1 0
489 306 -1 0
488 306 -1 0
487 306 -1 0
486 306 -1 0
485 306 -1 0
484 306 -1 0
483 306 -1 0
482 306 -1 0
481 306 -1 0
491 305 -1 0
490 305 -1 0
489 305 -1 0
488 305 -1 0
487 305 -1 0
486 305 -1 0
485 305 -1 0
484 305 -1 0
483 305 -1 0
482 305 -1 0
481 305 -1 0
491 304 -1 0
490 304 -1 0
489 304 -1 0
488 304 -1 0
487 304 -1 0
486 304 -1 0
485 304 -1 0
484 304 -1 0
483 304 -1 0
482 304 -1 0
481 304 -1 0
491 303 -1 0
490 303 -1 0
489 303 -1 0
488 303 -1 0
487 303 -1 0
486 303 -1 0
485 303 -1 0
484 303 -1 0
483 303 -1 0
482 303 -1 0
481 303 -1 0
491 302 -1 0
490 302 -1 0
489 302 -1 0
488 302 -1 0
487 302 -1 0
486 302 -1 0
485 302 -1 0
484 302 -1 0
483 302 -1 0
482 302 -1 0
481 302 -1 0
491 301 -1 0
490 301 -1 0
489 301 -1 0
488 301 -1 0
487 301 -1 0
486 301 -1 0
485 301 -1 0
484 301 -1 0
483 301 -1 0
482 301 -1 0
481 301 -1 0
491 300 -1 0
490 300 -1 0
489 300 -1 0
488 300 -1 0
487 300 -1 0
486 300 -1 0
485 300 -1 0
484 300 -1 0
483 300 -1 0
482 300 -1 0
481 300 -1 0
491 299 -1 0
490 299 -1 0
489 299 -1 0
488 299 -1 0
487 299 -1 0
486 299 -1 0
485 299 -1 0
484 299 -1 0
483 299 -1 0
482 299 -1 0
481 299 -1 0
491 298 -1 0
490 298 -1 0
489 298 -1 0
488 298 -1 0
487 298 -1 0
486 298 -1 0
485 298 -1 0
484 298 -1 0
483 298 -1 0
482 298 -1 0
481 298 -1 0
41 298 -1 0
491 297 -1 0
490 297 -1 0
489 297 -1 0
488 297 -1 0
487 297 -1 0
486 297 -1 0
485 297 -1 0
484 297 -1 0
483 297 -1 0
482 297 -1 0
481 297 -1 0
44 297 -1 0
43 297 -1 0
42 297 -1 0
41 297 -1 0
40 297 -1 0
39 297 -1 0
38 297 -1 0
490 296 -1 0
489 296 -1 0
488 296 -1 0
487 296 -1 0
486 296 -1 0
485 296 -1 0
484 296 -1 0
483 296 -1 0
482 296 -1 0
481 296 -1 0
480 296 -1 0
45 296 -1 0
44 296 -1 0
43 296 -1 0
42 296 -1 0
41 296 -1 0
40 296 -1 0
39 296 -1 0
38 296 -1 0
37 296 -1 0
490 295 -1 0
489 295 -1 0
488 295 -1 0
487 295 -1 0
486 295 -1 0
485 295 -1 0
484 295 -1 0
483 295 -1 0
482 295 -1 0
481 295 -1 0
480 295 -1 0
46 295 -1 0
45 295 -1 0
44 295 -1 0
43 295 -1 0
42 295 -1 0
41 295 -1 0
40 295 -1 0
39 295 -1 0
38 295 -1 0
37 295 -1 0
490 294 -1 0
489 294 -1 0
488 294 -1 0
487 294 -1 0
486 294 -1 0
485 294 -1 0
484 294 -1 0
483 294 -1 0
482 294 -1 0
481 294 -1 0
480 294 -1 0
47 294 -1 0
46 294 -1 0
45 294 -1 0
44 294 -1 0
43 294 -1 0
42 294 -1 0
41 294 -1 0
40 294 -1 0
39 294 -1 0
38 294 -1 0
37 294 -1 0
490 293 -1 0
489 293 -1 0
488 293 -1 0
487 293 -1 0
486 293 -1 0
485 293 -1 0
484 293 -1 0
483 293 -1 0
482 293 -1 0
481 293 -1 0
480 293 -1 0
47 293 -1 0
46 293 -1 0
45 293 -1 0
44 293 -1 0
43 293 -1 0
42 293 -1 0
41 293 -1 0
40 293 -1 0
39 293 -1 0
38 293 -1 0
37 293 -1 0
36 293 -1 0
490 292 -1 0
489 292 -1 0
488 292 -1 0
487 292 -1 0
486 292 -1 0
485 292 -1 0
484 292 -1 0
483 292 -1 0
482 292 -1 0
481 292 -1 0
480 292 -1 0
47 292 -1 0
46 292 -1 0
45 292 -1 0
44 292 -1 0
43 292 -1 0
42 292 -1 0
41 292 -1 0
40 292 -1 0
39 292 -1 0
38 292 -1 0
37 292 -1 0
490 291 -1 0
489 291 -1 0
488 291 -1 0
487 291 -1 0
486 291 -1 0
485 291 -1 0
484 291 -1 0
483 291 -1 0
482 291 -1 0
481 291 -1 0
480 291 -1 0
48 291 -1 0
47 291 -1 0
46 291 -1 0
45 291 -1 0
44 291 -1 0
43 291 -1 0
42 291 -1 0
41 291 -1 0
40 291 -1 0
39 291 -1 0
38 291 -1 0
37 291 -1 0
490 290 -1 0
489 290 -1 0
488 290 -1 0
487 290 -1 0
486 290 -1 0
485 290 -1 0
484 290 -1 0
483 290 -1 0
482 290 -1 0
481 290 -1 0
480 290 -1 0
48 290 -1 0
47 290 -1 0
46 290 -1 0
45 290 -1 0
44 290 -1 0
43 290 -1 0
42 290 -1 0
41 290 -1 0
40 290 -1 0
39 290 -1 0
38 290 -1 0
37 290 -1 0
490 289 -1 0
489 289 -1 0
488 289 -1 0
487 289 -1 0
486 289 -1 0
485 289 -1 0
484 289 -1 0
483 289 -1 0
482 289 -1 0
481 289 -1 0
480 289 -1 0
48 289 -1 0
47 289 -1 0
46 289 -1 0
45 289 -1 0
44 289 -1 0
43 289 -1 0
42 289 -1 0
41 289 -1 0
40 289 -1 0
39 289 -1 0
38 289 -1 0
490 288 -1 0
489 288 -1 0
488 288 -1 0
487 288 -1 0
486 288 -1 0
485 288 -1 0
484 288 -1 0
483 288 -1 0
482 288 -1 0
481 288 -1 0
480 288 -1 0
48 288 -1 0
47 288 -1 0
46 288 -1 0
45 288 -1 0
44 288 -1 0
43 288 -1 0
42 288 -1 0
41 288 -1 0
40 288 -1 0
39 288 -1 0
38 288 -1 0
490 287 -1 0
489 287 -1 0
488 287 -1 0
487 287 -1 0
486 287 -1 0
485 287 -1 0
484 287 -1 0
483 287 -1 0
482 287 -1 0
481 287 -1 0
480 287 -1 0
48 287 -1 0
47 287 -1 0
46 287 -1 0
45 287 -1 0
44 287 -1 0
43 287 -1 0
42 287 -1 0
41 287 -1 0
40 287 -1 0
39 287 -1 0
38 287 -1 0
490 286 -1 0
489 286 -1 0
488 286 -1 0
487 286 -1 0
486 286 -1 0
485 286 -1 0
484 286 -1 0
483 286 -1 0
482 286 -1 0
481 286 -1 0
480 286 -1 0
49 286 -1 0
48 286 -1 0
47 286 -1 0
46 286 -1 0
45 286 -1 0
44 286 -1 0
43 286 -1 0
42 286 -1 0
41 286 -1 0
40 286 -1 0
39 286 -1 0
490 285 -1 0
489 285 -1 0
488 285 -1 0
487 285 -1 0
486 285 -1 0
485 285 -1 0
484 285 -1 0
483 285 -1 0
482 285 -1 0
481 285 -1 0
480 285 -1 0
49 285 -1 0
48 285 -1 0
47 285 -1 0
46 285 -1 0
45 285 -1 0
44 285 -1 0
43 285 -1 0
42 285 -1 0
41 285 -1 0
40 285 -1 0
39 285 -1 0
490 284 -1 0
489 284 -1 0
488 284 -1 0
487 284 -1 0
486 284 -1 0
485 284 -1 0
484 284 -1 0
483 284 -1 0
482 284 -1 0
481 284 -1 0
480 284 -1 0
49 284 -1 0
48 284 -1 0
47 284 -1 0
46 284 -1 0
45 284 -1 0
44 284 -1 0
43 284 -1 0
42 284 -1 0
41 284 -1 0
40 284 -1 0
39 284 -1 0
490 283 -1 0
489 283 -1 0
488 283 -1 0
487 283 -1 0
486 283 -1 0
485 283 -1 0
484 283 -1 0
483 283 -1 0
482 283 -1 0
481 283 -1 0
480 283 -1 0
49 283 -1 0
48 283 -1 0
47 283 -1 0
46 283 -1 0
45 283 -1 0
44 283 -1 0
43 283 -1 0
42 283 -1 0
41 283 -1 0
40 283 -1 0
39 283 -1 0
490 282 -1 0
489 282 -1 0
488 282 -1 0
487 282 -1 0
486 282 -1 0
485 282 -1 0
484 282 -1 0
483 282 -1 0
482 282 -1 0
481 282 -1 0
480 282 -1 0
49 282 -1 0
48 282 -1 0
47 282 -1 0
46 282 -1 0
45 282 -1 0
44 282 -1 0
43 282 -1 0
42 282 -1 0
41 282 -1 0
40 282 -1 0
39 282 -1 0
490 281 -1 0
489 281 -1 0
488 281 -1 0
487 281 -1 0
486 281 -1 0
485 281 -1 0
484 281 -1 0
483 281 -1 0
482 281 -1 0
481 281 -1 0
480 281 -1 0
50 281 -1 0
49 281 -1 0
48 281 -1 0
47 281 -1 0
46 281 -1 0
45 281 -1 0
44 281 -1 0
43 281 -1 0
42 281 -1 0
41 281 -1 0
40 281 -1 0
490 280 -1 0
489 280 -1 0
488 280 -1 0
487 280 -1 0
486 280 -1 0
485 280 -1 0
484 280 -1 0
483 280 -1 0
482 280 -1 0
481 280 -1 0
480 280 -1 0
50 280 -1 0
49 280 -1 0
48 280 -1 0
