65 256 256
144 112 3 0
124 67 2 1
125 67 2 1
141 109 3 0
126 67 2 1
142 109 3 0
127 67 2 1
143 109 3 0
128 67 2 1
144 109 3 0
145 109 3 0
146 109 3 0
147 109 3 0
124 64 2 1
125 64 2 1
126 64 2 1
127 64 2 1
128 64 2 1
144 106 3 0
126 69 2 1
142 111 3 0
143 111 3 0
144 111 3 0
145 111 3 0
146 111 3 0
123 66 2 1
124 66 2 1
125 66 2 1
126 66 2 1
142 108 3 0
127 66 2 1
143 108 3 0
128 66 2 1
144 108 3 0
129 66 2 1
145 108 3 0
146 108 3 0
124 63 2 1
125 63 2 1
126 63 2 1
127 63 2 1
128 63 2 1
124 68 2 1
125 68 2 1
126 68 2 1
142 110 3 0
127 68 2 1
143 110 3 0
128 68 2 1
144 110 3 0
145 110 3 0
123 65 2 1
146 110 3 0
124 65 2 1
125 65 2 1
126 65 2 1
142 107 3 0
127 65 2 1
143 107 3 0
128 65 2 1
144 107 3 0
129 65 2 1
145 107 3 0
146 107 3 0
126 62 2 1
