313 256 256
181 147 -1 1
183 146 -1 1
182 146 -1 1
181 146 -1 1
180 146 -1 1
179 146 -1 1
183 145 -1 1
182 145 -1 1
181 145 -1 1
180 145 -1 1
179 145 -1 1
178 145 -1 1
184 144 -1 1
183 144 -1 1
182 144 -1 1
181 144 -1 1
180 144 -1 1
179 144 -1 1
178 144 -1 1
184 143 -1 1
183 143 -1 1
182 143 -1 1
181 143 -1 1
180 143 -1 1
179 143 -1 1
178 143 -1 1
177 143 -1 1
183 142 -1 1
182 142 -1 1
181 142 -1 1
180 142 -1 1
179 142 -1 1
178 142 -1 1
177 142 -1 1
183 141 -1 1
182 141 -1 1
181 141 -1 1
180 141 -1 1
179 141 -1 1
178 141 -1 1
177 141 -1 1
183 140 -1 1
182 140 -1 1
181 140 -1 1
180 140 -1 1
179 140 -1 1
178 140 -1 1
177 140 -1 1
183 139 -1 1
182 139 -1 1
181 139 -1 1
180 139 -1 1
179 139 -1 1
178 139 -1 1
177 139 -1 1
183 138 -1 1
182 138 -1 1
181 138 -1 1
180 138 -1 1
179 138 -1 1
178 138 -1 1
177 138 -1 1
176 138 -1 1
182 137 -1 1
181 137 -1 1
180 137 -1 1
179 137 -1 1
178 137 -1 1
177 137 -1 1
176 137 -1 1
182 136 -1 1
181 136 -1 1
180 136 -1 1
179 136 -1 1
178 136 -1 1
177 136 -1 1
182 135 -1 1
181 135 -1 1
180 135 -1 1
179 135 -1 1
178 135 -1 1
177 135 -1 1
176 135 -1 1
181 134 -1 1
180 134 -1 1
179 134 -1 1
178 134 -1 1
177 134 -1 1
176 134 -1 1
182 133 -1 1
181 133 -1 1
180 133 -1 1
179 133 -1 1
178 133 -1 1
177 133 -1 1
176 133 -1 1
175 133 -1 1
181 132 -1 1
180 132 -1 1
179 132 -1 1
178 132 -1 1
177 132 -1 1
176 132 -1 1
175 132 -1 1
181 131 -1 1
180 131 -1 1
179 131 -1 1
178 131 -1 1
177 131 -1 1
176 131 -1 1
175 131 -1 1
174 131 -1 1
180 130 -1 1
179 130 -1 1
178 130 -1 1
177 130 -1 1
176 130 -1 1
175 130 -1 1
174 130 -1 1
173 130 -1 1
180 129 -1 1
179 129 -1 1
178 129 -1 1
177 129 -1 1
176 129 -1 1
175 129 -1 1
174 129 -1 1
173 129 -1 1
179 128 -1 1
178 128 -1 1
177 128 -1 1
176 128 -1 1
175 128 -1 1
174 128 -1 1
173 128 -1 1
172 128 -1 1
179 127 -1 1
178 127 -1 1
177 127 -1 1
176 127 -1 1
175 127 -1 1
174 127 -1 1
173 127 -1 1
172 127 -1 1
178 126 -1 1
177 126 -1 1
176 126 -1 1
175 126 -1 1
174 126 -1 1
173 126 -1 1
172 126 -1 1
178 125 -1 1
177 125 -1 1
176 125 -1 1
175 125 -1 1
174 125 -1 1
173 125 -1 1
172 125 -1 1
177 124 -1 1
176 124 -1 1
175 124 -1 1
174 124 -1 1
173 124 -1 1
172 124 -1 1
178 123 -1 1
177 123 -1 1
176 123 -1 1
175 123 -1 1
174 123 -1 1
173 123 -1 1
172 123 -1 1
171 123 -1 1
177 122 -1 1
176 122 -1 1
175 122 -1 1
174 122 -1 1
173 122 -1 1
172 122 -1 1
171 122 -1 1
177 121 -1 1
176 121 -1 1
175 121 -1 1
174 121 -1 1
173 121 -1 1
172 121 -1 1
171 121 -1 1
177 120 -1 1
176 120 -1 1
175 120 -1 1
174 120 -1 1
173 120 -1 1
172 120 -1 1
171 120 -1 1
170 120 -1 1
176 119 -1 1
175 119 -1 1
174 119 -1 1
173 119 -1 1
172 119 -1 1
171 119 -1 1
170 119 -1 1
176 118 -1 1
175 118 -1 1
174 118 -1 1
173 118 -1 1
172 118 -1 1
171 118 -1 1
170 118 -1 1
169 118 -1 1
175 117 -1 1
174 117 -1 1
173 117 -1 1
172 117 -1 1
171 117 -1 1
170 117 -1 1
169 117 -1 1
175 116 -1 1
174 116 -1 1
173 116 -1 1
