287 240 240
200 152 -1 0
202 151 -1 0
201 151 -1 0
200 151 -1 0
199 151 -1 0
198 151 -1 0
202 150 -1 0
201 150 -1 0
200 150 -1 0
199 150 -1 0
198 150 -1 0
197 150 -1 0
203 149 -1 0
202 149 -1 0
201 149 -1 0
200 149 -1 0
199 149 -1 0
198 149 -1 0
197 149 -1 0
196 149 -1 0
203 148 -1 0
202 148 -1 0
201 148 -1 0
200 148 -1 0
199 148 -1 0
198 148 -1 0
197 148 -1 0
196 148 -1 0
195 148 -1 0
202 147 -1 0
201 147 -1 0
200 147 -1 0
199 147 -1 0
198 147 -1 0
197 147 -1 0
196 147 -1 0
195 147 -1 0
202 146 -1 0
201 146 -1 0
200 146 -1 0
199 146 -1 0
198 146 -1 0
197 146 -1 0
196 146 -1 0
195 146 -1 0
194 146 -1 0
201 145 -1 0
200 145 -1 0
199 145 -1 0
198 145 -1 0
197 145 -1 0
196 145 -1 0
195 145 -1 0
194 145 -1 0
200 144 -1 0
199 144 -1 0
198 144 -1 0
197 144 -1 0
196 144 -1 0
195 144 -1 0
194 144 -1 0
200 143 -1 0
199 143 -1 0
198 143 -1 0
197 143 -1 0
196 143 -1 0
195 143 -1 0
194 143 -1 0
193 143 -1 0
199 142 -1 0
198 142 -1 0
197 142 -1 0
196 142 -1 0
195 142 -1 0
194 142 -1 0
193 142 -1 0
199 141 -1 0
198 141 -1 0
197 141 -1 0
196 141 -1 0
195 141 -1 0
194 141 -1 0
193 141 -1 0
192 141 -1 0
198 140 -1 0
197 140 -1 0
196 140 -1 0
195 140 -1 0
194 140 -1 0
193 140 -1 0
192 140 -1 0
198 139 -1 0
197 139 -1 0
196 139 -1 0
195 139 -1 0
194 139 -1 0
193 139 -1 0
192 139 -1 0
197 138 -1 0
196 138 -1 0
195 138 -1 0
194 138 -1 0
193 138 -1 0
192 138 -1 0
191 138 -1 0
197 137 -1 0
196 137 -1 0
195 137 -1 0
194 137 -1 0
193 137 -1 0
192 137 -1 0
191 137 -1 0
197 136 -1 0
196 136 -1 0
195 136 -1 0
194 136 -1 0
193 136 -1 0
192 136 -1 0
191 136 -1 0
197 135 -1 0
196 135 -1 0
195 135 -1 0
194 135 -1 0
193 135 -1 0
192 135 -1 0
191 135 -1 0
197 134 -1 0
196 134 -1 0
195 134 -1 0
194 134 -1 0
193 134 -1 0
192 134 -1 0
191 134 -1 0
196 133 -1 0
195 133 -1 0
194 133 -1 0
193 133 -1 0
192 133 -1 0
196 132 -1 0
195 132 -1 0
194 132 -1 0
193 132 -1 0
192 132 -1 0
194 131 -1 0
15 94 -1 1
14 94 -1 1
17 93 -1 1
16 93 -1 1
15 93 -1 1
14 93 -1 1
13 93 -1 1
12 93 -1 1
17 92 -1 1
16 92 -1 1
15 92 -1 1
14 92 -1 1
13 92 -1 1
12 92 -1 1
19 91 -1 1
18 91 -1 1
17 91 -1 1
16 91 -1 1
15 91 -1 1
14 91 -1 1
13 91 -1 1
12 91 -1 1
11 91 -1 1
19 90 -1 1
18 90 -1 1
17 90 -1 1
16 90 -1 1
15 90 -1 1
14 90 -1 1
13 90 -1 1
12 90 -1 1
20 89 -1 1
19 89 -1 1
18 89 -1 1
17 89 -1 1
16 89 -1 1
15 89 -1 1
14 89 -1 1
13 89 -1 1
12 89 -1 1
21 88 -1 1
20 88 -1 1
19 88 -1 1
18 88 -1 1
17 88 -1 1
16 88 -1 1
15 88 -1 1
14 88 -1 1
13 88 -1 1
23 87 -1 1
22 87 -1 1
21 87 -1 1
20 87 -1 1
19 87 -1 1
18 87 -1 1
17 87 -1 1
16 87 -1 1
15 87 -1 1
14 87 -1 1
24 86 -1 1
23 86 -1 1
22 86 -1 1
21 86 -1 1
20 86 -1 1
19 86 -1 1
18 86 -1 1
17 86 -1 1
16 86 -1 1
15 86 -1 1
25 85 -1 1
24 85 -1 1
23 85 -1 1
22 85 -1 1
21 85 -1 1
20 85 -1 1
19 85 -1 1
18 85 -1 1
17 85 -1 1
16 85 -1 1
15 85 -1 1
27 84 -1 1
26 84 -1 1
25 84 -1 1
24 84 -1 1
23 84 -1 1
22 84 -1 1
21 84 -1 1
20 84 -1 1
19 84 -1 1
18 84 -1 1
17 84 -1 1
28 83 -1 1
27 83 -1 1
26 83 -1 1
25 83 -1 1
24 83 -1 1
23 83 -1 1
22 83 -1 1
21 83 -1 1
20 83 -1 1
19 83 -1 1
18 83 -1 1
17 83 -1 1
28 82 -1 1
27 82 -1 1
26 82 -1 1
25 82 -1 1
24 82 -1 1
23 82 -1 1
22 82 -1 1
21 82 -1 1
20 82 -1 1
19 82 -1 1
29 81 -1 1
28 81 -1 1
27 81 -1 1
26 81 -1 1
25 81 -1 1
24 81 -1 1
23 81 -1 1
22 81 -1 1
21 81 -1 1
20 81 -1 1
29 80 -1 1
28 80 -1 1
27 80 -1 1
26 80 -1 1
25 80 -1 1
24 80 -1 1
23 80 -1 1
22 80 -1 1
28 79 -1 1
27 79 -1 1
26 79 -1 1
25 79 -1 1
24 79 -1 1
23 79 -1 1
28 78 -1 1
27 78 -1 1
26 78 -1 1
25 78 -1 1
24 78 -1 1
26 77 -1 1
